SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
OC1CCNC(-C2CCCC(F)C2)C1,-112.03,380.519,404.0163515595032,23.49735155950316
O=C(CN1CCNC1)NC1CCCC(F)C1,-112.03,390.296,407.2267071850914,16.93070718509142
O=C(C1CCCC(F)C1)N1CCN(C(=O)C2CC2)CC1,-112.05,371.292,389.5348851136631,18.24288511366308
NC(=O)C1CCC(-C2CCC(F)CC2)O1,-112.05,398.925,395.9482824126161,-2.9767175873839165
O=C1NC(=O)C2(CCN(C(=O)C3CCCC(F)C3)CC2)N1,-112.07,381.618,403.0924278995743,21.474427899574263
CC(=O)N1CSCC1C(=O)NC1CCCC(F)C1,-112.07,381.824,386.4549230667173,4.630923066717287
CC1CCC(S(=O)(=O)N[C@@H]2CCCC[C@H]2N)C(F)C1.Cl,-112.08,360.864,381.9661943767872,21.102194376787168
CC1OCCC1C(=O)NC1CCC(C(=O)O)C(F)C1,-112.09,388.584,399.7251441654788,11.141144165478806
FC1CCC(C2CN(CC3CCON3)CCO2)C(Cl)C1,-112.09,390.666,393.5615467014127,2.895546701412684
CCN(C)C1CCCN(C2CCCC(F)C2)C1=O,-112.09,399.703,398.62354786631954,-1.0794521336804337
CN(CC1CCCO1)C(=O)C1CCCC(F)C1,-112.1,378.369,391.6209411595906,13.251941159590617
NC(=O)C1CC2CCCCC2CN1CC1CCCC(F)C1,-112.1,382.424,396.01295456719305,13.58895456719307
O=C1CN(C(=O)C2(C3CCCC(F)C3)CCC2)CCN1,-112.14,380.151,402.3309120985392,22.17991209853915
O=C1CN(C(=O)C2CC(-C3CCCC(F)C3)NO2)CCN1,-112.15,381.229,394.0729218948613,12.843921894861351
O=C(NC1CCCC(F)C1)[C@H]1CNCCO1,-112.18,378.792,396.9873621562996,18.19536215629961
CC1CC(C(=O)NC2CCNCC2C)CCC1F,-112.19,388.102,382.0824413432984,-6.0195586567016335
CNC(=O)C1(C2CCCCC2F)CCCC1,-112.21,389.76,395.55613038745423,5.796130387454241
Cl.FC1CCCC(C2COCCN2)C1,-112.25,373.787,385.9193632430963,12.132363243096336
O=C(NC1CN[NH]C1)C1CCCC(F)C1,-112.25,390.779,388.2358351072464,-2.543164892753566
O=C(NC1CCCC(F)C1)C1(O)CCOC1,-112.26,386.044,389.1243296149631,3.080329614963091
CN1CCC(NC(=O)C2CCC(Cl)CC2F)N1,-112.28,385.656,392.5518776354447,6.89587763544472
O=C1CN(C2CCCC2)C(=O)N1C1CCC(F)CC1,-112.28,388.829,401.5654865253141,12.736486525314092
CC1(C)COCCN1C(=O)C1CCCC(F)C1,-112.29,388.132,386.79540733469287,-1.336592665307137
O=C(NCC1CCC2C(C1)OCO2)C1CCCC(F)C1,-112.29,390.286,396.2191847018637,5.933184701863695
CC1(C)COCCN1CC1COC(-C2CCCC(F)C2)N1,-112.3,384.643,391.2929386833317,6.649938683331754
O=C1NCCC1OC1CC(F)CCC1Cl,-112.31,381.269,391.36544488664725,10.096444886647248
CC1C(C(=O)N2CCCC2)CNN1-C1CCC(F)CC1,-112.32,377.11,398.84872586448,21.73872586447993
CN(C)C1CCC(NC(=O)C2CCCC(F)C2)CN1,-112.32,388.955,399.1451503405255,10.19015034052552
O=C(NCC(=O)N1C2COCC1C2)C1CCCC(F)C1,-112.35,398.434,406.9946076983778,8.560607698377794
COC1CC(F)CCC1NC(=O)C1CCCS1,-112.36,391.229,395.2798330848756,4.050833084875649
O=C(NC1CCCN(C2CCCC(F)C2)C1)C1CCOC1,-112.39,386.041,390.30785302414046,4.26685302414046
CC1SC(=O)N(CC(=O)O)C1-C1CCC(F)CC1,-112.41,371.843,389.4009576902768,17.557957690276737
O=C(NC1CCCC(F)C1)N1CCN2CCC1CC2,-112.41,389.062,397.25358914326296,8.191589143262945
CC(C)(O)C1CCCN1C(=O)C1CCC(F)C(Cl)C1,-112.46,371.021,391.77360682994913,20.75260682994912
CC1CCCNC1CNC(=O)C1CCCC(F)C1,-112.46,383.527,387.0790375304831,3.552037530483119
CC1CC(C(=O)NC2(C(=O)O)CC2)C(Cl)CC1F,-112.46,389.968,396.5192235805812,6.551223580581166
CC1CC(C(=O)NC2(CO)CCOC2)C(Cl)CC1F,-112.46,398.523,399.80992414590287,1.2869241459028444
CC(C)N1CCC(NC(=O)C2CCCC(F)C2)CC1,-112.47,381.335,409.8773812439705,28.54238124397051
CC1(NC(=O)NC2CCCC(F)C2)CCS(=O)(=O)C1,-112.47,390.712,408.33884997333087,17.626849973330877
O=C(C1CN(CC2CCCC(F)C2)NN1)N1CCCCC1,-112.49,371.537,385.2242782213676,13.687278221367649
CN(CC1CCC(F)CC1Cl)C(=O)[C@@H]1CCCCN1.Cl,-112.51,378.856,390.9516881499304,12.095688149930368
CCN1CC(NC(=O)NC2CCCC(F)C2)CN1,-112.51,389.18,386.1980269880595,-2.981973011940511
O=C(NC1CCCCNC1=O)C1CCCC(F)C1,-112.51,391.295,392.4630044092373,1.1680044092373123
O=C1CN(CC2CCC(F)CC2Cl)CCN1,-112.52,387.772,397.3675925233373,9.595592523337244
O=C(NCC1CCCO1)NC1CCCC(F)C1,-112.52,397.06,405.75484853577353,8.69484853577353
O=C(NCC1NCC[NH]1)NC1CCCC(F)C1,-112.52,397.261,393.23403505466655,-4.026964945333475
CN1CC(CNC(=O)NC2CCCC(F)C2)CN1,-112.53,372.725,386.85104813955934,14.126048139559316
CC1NC(CNC(=O)NC2CCCC(F)C2)N[NH]1,-112.53,377.999,378.62234130669873,0.6233413066987055
O=C(NC1CCCC(F)C1)N[C@H]1C[C@@H](O)C1,-112.53,378.464,391.6525915164581,13.188591516458132
O=C(NC1CCCC(F)C1)N[C@@H]1C[C@H]1CO,-112.53,397.436,391.1163863229128,-6.319613677087148
CC1NN(-C2CCC(F)CC2)C(N)C1C(N)=O,-112.54,383.616,390.7111237221205,7.095123722120491
CC1OCNC1C(=O)NC1CCC(S(C)=O)C(F)C1,-112.55,383.237,388.3467649419107,5.109764941910669
CCNC(=O)N1CCN(CC2CCC(F)CC2C#N)CC1,-112.58,380.209,392.5858133973584,12.376813397358376
CC1NN(-C2CCC(F)CC2)C(C)C1C(=O)NC1CC1,-112.58,385.791,383.3362454561819,-2.454754543818069
CC1NCCN1CC1CCCC(C#N)C1F,-112.58,386.435,385.4060059049585,-1.0289940950414689
O=C(C1CC(F)CC2CCCNC12)N1CCCCO1,-112.59,389.739,409.7070262281839,19.96802622818393
CC1NC(C2(NC(=O)C3CCCC(F)C3)CCCC2)NO1,-112.6,381.044,385.0640732217188,4.020073221718803
CC(C)(C(=O)N1CCCC(C(=O)O)C1)C1CCCC(F)C1,-112.61,389.903,388.78373374004485,-1.1192662599551682
FC1CCCC(-C2CNC(CN3CCOCC3)O2)C1,-112.63,380.282,405.1588979340885,24.87689793408856
CC(C)(CO)NC(=O)C1CC(F)CC2CCCNC12,-112.66,379.464,411.8728566000626,32.40885660006262
O=C(NC1(C2CCCC(F)C2)CCOCC1)C1CCOC1,-112.66,383.072,386.3849769126353,3.3129769126352926
O=C(NCC1CCOC1)C1CCC(Cl)CC1F,-112.67,400.918,396.60342178087785,-4.314578219122154
CN1C(=O)N[C@@H]2CN(CC3CCC(F)CC3C#N)CC[C@@H]21,-112.69,390.702,398.3566710811133,7.6546710811132925
